opcode,mnemonic,hbits,opcount,extension
000,und,xxxx,0,X-main
001,add,l00f,2,X-main
002,sub,l00f,2,X-main
003,and,l00f,2,X-main
004,or,l00f,2,X-main
005,xor,l00f,2,X-main
006,mul,ss0f,0,X-main
007,div,sswf,0,X-main
008,mov,0000,2,X-main
009,lea,0000,2,X-main
00a,mov,rrrr,1,X-main
00b,mov,rrrr,1,X-main
00c,mov,rrrr,1,X-main
010,nop,xxxx,0,X-main
011,nop,xxxx,1,X-main
012,nop,xxxx,2,X-main
014,push,0000,1,X-main
015,pop,0000,1,X-main
016,push,rrrr,0,X-main
017,pop,rrrr,0,X-main
018,stogpr,0000,1,X-main
019,stoar,0000,1,X-main
01a,rstogpr,0000,1,X-main
01b,rstoar,0000,1,X-main
01c,pushgpr,0000,0,X-main
01d,pushar,0000,0,X-main
01e,popgpr,0000,0,X-main
01f,popar,0000,0,X-main
020,movsx,000f,2,X-main
021,bswap,000f,2,X-main
022,movsif,000f,2,X-float
023,movxf,ssif,2,X-float
024,movfsi,000f,2,X-float
025,movfx,ssif,2,X-float
026,cvtf,000f,2,X-float
028,repbi,0000,prefix,X-main
029,repbc,cccc,prefix,X-main
02a,bcpy,00ss,0,X-main
02b,bsto,00ss,0,X-main
02c,bsca,00ss,0,X-main
02d,bcmp,00ss,0,X-main
02e,btst,00ss,0,X-main
030,lsh,l00f,2,X-main
031,rsh,l00f,2,X-main
032,arsh,l00f,2,X-main
033,lshc,l00f,2,X-main
034,rshc,l00f,2,X-main
035,lrot,l00f,2,X-main
036,rrot,l00f,2,X-main
038,lsh,rrrr,1,X-main
039,rsh,rrrr,1,X-main
03a,arsh,rrrr,1,X-main
03b,lshc,rrrr,1,X-main
03c,rshc,rrrr,1,X-main
03d,lrot,rrrr,1,X-main
03e,rrot,rrrr,1,X-main
040,imul,ss0f,0,X-main
041,add,rrrr,1,X-main
042,sub,rrrr,1,X-main
043,and,rrrr,1,X-main
044,or,rrrr,1,X-main 
045,xor,rrrr,1,X-main
046,bnot,l00f,1,X-main
047,neg,l00f,1,X-main
048,idiv,sswf,0,X-main
049,add,rrrr,1,X-main
04a,sub,rrrr,1,X-main
04b,and,rrrr,1,X-main
04c,or,rrrr,1,X-main
04d,xor,rrrr,1,X-main
04e,bnot,rrrr,0,X-main
04f,neg,rrrr,0,X-main
06c,cmp,0000,2,X-main
06d,test,0000,2,X-main
06e,cmp,rrrr,1,X-main
06f,test,rrrr,1,X-main
100,round,000f,1,X-float
101,ceil,000f,1,X-float
102,floor,000f,1,X-float
103,fabs,000f,1,X-float
104,fneg,000f,1,X-float
105,finv,000f,1,X-float
106,fadd,000f,2,X-float
107,fsub,000f,2,X-float
108,fmul,000f,2,X-float
109,fdiv,000f,2,X-float
10a,frem,000f,2,X-float
10b,fma,000f,3,X-float
118,fcmpz,0000,1,X-float
119,fcmp,0000,2,X-float
120,exp,000f,1,X-float-ext
121,ln,000f,1,X-float-ext
122,lg,000f,1,X-float-ext
123,sin,000f,1,X-float-ext
124,cos,000f,1,X-float-ext
125,tan,000f,1,X-float-ext
126,asin,000f,1,X-float-ext
127,acos,000f,1,X-float-ext
128,atan,000f,1,X-float-ext
129,exp2,000f,1,X-float-ext
12a,log10,000f,1,X-float-ext
12b,lnp1,000f,1,X-float-ext
12c,expm1,000f,1,X-float-ext
12d,sqrt,000f,1,X-float-ext
130,fraiseexcept,0000,0,X-float
131,ftriggerexcept,0000,0,X-float
200,xchg,0000,2,X-main
201,cmpxchg,0000,3,X-main
202,wcmpxchg,0000,3,X-main
203,fence,0000,0,X-main
230,rpoll,rrrr,0,X-rand
400,vec,00ss,prefix,X-vector
401,vmov,0000,2,X-vector
402,vshuffle,00ss,2,X-vector
403,vextract,rrrr,2,X-vector
404,vcmp,00ss,3,X-vector
405,vtest,00ss,3,X-vector
406,vfcmp,00ss,3,X-vector&X-float
7c0,jmp,00ss,abs,X-main
7c1,call,00ss,abs,X-main
7c2,fcall,00ss,abs,X-main
7c3,ret,0000,0,X-main
7c4,scall,0000,0,X-main
7c5,int,iiii,0,X-main
7c8,ijmp,rrrr,0,X-main
7c8,fret,1110,0,X-main
7c8,ifjmp,1111,0,X-main
7c9,icall,rrrr,0,X-main
7ca,ifcall,0000,0,X-main
7cb,jmpsm,0000,abs,X-main
7cc,callsm,000v,abs,X-main
7cd,retrsf,0000,0,X-main
801,halt,0000,0,X-main
802,pcfl,0000,0,X-main
803,flall,0000,0,X-main
804,dflush,0000,1,X-main
805,iflush,0000,1,X-main
806,in,00ss,0,X-main
807,out,00ss,0,X-main
808,storegf,0000,1,X-main
809,rstreg,0000,1,X-main
e00,vmcreate,0000,1,X-virtualization
e01,vmdestroy,0000,0,X-virtualization
fc6,scret,0000,0,X-main
fc7,reti,0000,0,X-main
fcb,hcall,0000,0,X-virtualization
fd6,hret,0000,0,X-virtualization
fd7,hresume,0000,0,X-virtualization
fff,und,xxxx,0,X-main
